City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
90,Lodi,US,79.39,clear sky,38.1302,-121.2725,Wine & Roses
98,Karratha,AU,78.71,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
99,Saint Anthony,US,75.13,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
105,Ca Mau,VN,86.59,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
107,Seminole,US,85.21,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
111,Luwuk,ID,84.87,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
113,Sinnamary,GF,77.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
114,Jamestown,US,76.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
117,Kieta,PG,83.91,light rain,-6.2167,155.6333,Uruna Bay Retreat
119,Labuhan,ID,82.94,broken clouds,-6.8844,112.2051,DoubleFAG
128,Baculin,PH,85.46,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
131,Santiago Tuxtla,MX,75.13,clear sky,18.4667,-95.3,Hotel Santiago Plaza
135,Evansville,US,86.22,clear sky,37.9748,-87.5558,Le Merigot Hotel
147,Butaritari,KI,82.71,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Faanui,PF,80.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
149,Nabire,ID,82.27,broken clouds,-3.3667,135.4833,Hotel Nusantara I
150,Tabou,CI,75.79,moderate rain,4.423,-7.3528,hotêl doufoulougou
153,Hami,CN,83.68,overcast clouds,42.8,93.45,Laoyutang Resort
154,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
158,Totness,SR,77.05,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
167,Verkh-Usugli,RU,76.08,broken clouds,52.7,115.1667,"Gostinitsa ""Sever"""
171,Korla,CN,78.31,overcast clouds,41.7597,86.1469,Gulisitan Hotel
174,Balykshi,KZ,75.2,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
175,Bilma,NE,89.06,clear sky,18.6853,12.9164,Expeditions Ténére voyages
176,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
190,Ternate,ID,83.93,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
